title,location,description,date
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 24
RC Closed,,,September 24
Research Labs Day,Zachry Engineering Education Complex,"
  Research Lab Day is a targeted networking event and career fair hosted by the Texas A&amp;M College of Engineering Graduate Programs and the Associate Dean for Research. The event serves as an opportunity for graduate engineering students at Texas A&amp;M to engage with national and private laboratories with research career opportunities.
",September 24
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,September 24
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 24
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 24
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 24
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 24
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 24
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 24
Texas Family Support Group,Online Virtual Meeting for all of Texas,,September 24
"Texas Well Owner Network Water Screenings and Results Meetings: Calhoun, Jackson and Matagorda counties","Calhoun County AgriLife Meeting Room at 311 Henery Barber Way, Port Lavaca or Matagorda County Fairgrounds Multi-Purpose Building, 4511 FM 2668 in Bay City","
  September 23: Drop off water samples from 8:30-10:00 a.m. at local AgriLife Extension or Groundwater Conservation District offices.
  
  September 24: Attend the follow-up meeting to explain the results of the screenings from 8:00 a.m. until noon for Calhoun County in Port Lavaca and from 1:30 until 5:30 p.m. at the Matagorda County Fairgrounds in Bay City.
",September 24
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 24
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 24
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",September 24
Virtual Walk Challenge,,"
  Walk Through Texas History during our 4-week virtual walk challenge.
",September 24
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",September 24
Southside Rec Center Hours,,,September 24
Student Rec Center Hours,,,September 24
Lap Pool,,,September 24
Polo Road Hours,,,September 24
Operating Hours,,,September 24
ASCC 003,"Evans 105: Whitley Suite, Evans Library",,September 24
ASCC 001,"Evans 202A, Evans Library",,September 24
Wilders Systems UAS Testing,Runway 35L,,September 24
2024 Pesticide Applicator Training for Public Health: Rosenberg,"Rosenberg Civic Center, 3825 State Highway 36, Rosenberg, TX 77471","
  The Texas A&amp;M AgriLife Extension Service will be holding a pesticide applicator training for certification for pesticide applicators in local governments responsible for mosquito control on Sept. 24-26 in Rosenberg.
",September 24
Hazing Prevention Week: Advisor Breakfast,MSC Bethancourt Ballroom,"
  Student organization advisors are invited to join us for breakfast and information about hazing prevention.
  
  RSVP required to attend.
",September 24
Hazing Prevention Week: Advisor Breakfast,MSC Bethancourt Ballroom,"
  Student organization advisors are invited to join us for breakfast and information about hazing prevention.
  
  RSVP required to attend.
",September 24
"TWON Water Screenings and Results Meetings: Calhoun, Jackson and Matagorda counties",,"
  The Texas Well Owner Network, TWON, will host water well screenings Sept. 23-24 in Port Lavaca and Bay City.
",September 24
Questioning Clarity: Strategies for Effective Question Formation in Communication,Zoom,"
  Register Here: https://ers.tamu.edu/register.aspx?scheduleid=42986
  
  Facilitators: Michele Vick, Center for Teaching Excellence


  Description: Mastering question formation is crucial for effective communication. In this workshop, attendees will review the grammatical structures of direct and indirect questions, and discuss how higher order questions can encourage critical thinking and foster deeper learning. An optional assignment for extended practice will be available on Canvas.


  Learning Outcomes: Participants will be able to:


  1. Plan and utilize questions as an instructional tool to foster deeper learning


  2. Correctly formulate indirect (embedded) questions to elicit student engagement or check for understanding
",September 24
Special Education Program Meeting for Faculty,,,September 24
50 Meter,,,September 24
Army Test &amp; Evaluation Command Site Visit,"RIC, Various",,September 24
Leading Self Informational Session,,,September 24
OneOp Webinar: Enhancing Military Family Well-Being: Understanding and Nurturing Economic Security,,The Texas A&amp;M AgriLife Extension Service and OneOp will host a webinar on understanding and nurturing economic security for military families on Sept. 24.,September 24
“When Can I Graduate?”,Liberal Arts Social Sciences Building,ECON Advisors will instruct students on Degree Plans and how to best determine their graduation semester.,September 24
Small Acreage Landowner Series,,"
  The Texas A&amp;M AgriLife Extension Service will be hosting a small acreage landowner series from Aug. 13-Oct. 15 in San Antonio. This class will be taught virtually.
",September 24
TELUS Health Student Support Resource Table,Rudder Plaza,"Learn more about the free TELUS Health Student Support app, available for all Texas A&amp;M University students.",September 24
Undercover Kindness: Rock the Message,Higher Education Center at McAllen,"
  Paint rocks and spread positivity!
",September 24
The Aggie Arthouse - Fall Bake Sale,Memorial Student Center,,September 24
CLGV 001 (Stewart),"121A, Galveston",,September 24
AMO/IQSE seminar – SARS CoV-2 main protease dimerization: Quantum mechanical calculations,"IQSE seminar room, Mitchell Physics Building","
  Speaker: Narangerel Altangerel (IQSE, Texas A&amp;M University)&#160;
",September 24
APhA Operation Heart Committee Meeting,REYN 160; PHARM 115,,September 24
Communication Strategies for International Instructors,Zoom,"
  Register Here: https://ers.tamu.edu/event/8326
  
  Facilitators: Ginessa Payne, Center for Teaching Excellence


  Description: This is an informational session for TAs (teaching assistants) or future TAs whose primary language is not North American English. It encourages them to leverage their strengths, to understand university requirements related to language proficiency, and to discover resources available to help enhance classroom communication skills.


  Learning Outcomes: Participants will be able to:


  1. Rehearse common but tricky interactions with students


  2. Identify resources available at the CTE-ELP


  3. Acknowledge the conditions of employment for conditionally-appointed TAs
",September 24
"Graduate Consulting Career Series 2: Job Searching, Networking, and Resumes.",,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Con2
",September 24
"Career Center presents: Graduate Consulting Career Series 2: Job Searching, Networking, and Resumes.",,"
  Online Event&#160;at tx.ag/Con2
",September 24
"Graduate Consulting Career Series 2: Job Searching, Networking, and Resumes.",,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Con2
",September 24
Sisters in STEM,"Texas A&amp;M University Higher Education Center at McAllen, 6200 Tres Lagos Blvd, McAllen, TX 78504",,September 24
Outdoor Pool,,,September 24
CIRTL Network: The College Classroom,zoom,"
  Get an introduction to key learning principles and the basics of effective, evidence-based teaching practices in this 12-week course about teaching in the college classroom. This course will focus on developing inclusive, learner-centered approaches to teaching. Participants will explore the interconnectedness of learning objectives, assessment, and learning activities through both discussions of course materials and developing and practicing their own lesson plan.&#160;
  
  REGISTRATION
  This course has a cap of 100 students. Registration opens on Monday, September 9 at 1pm Atlantic Time / 12pm Eastern / 11am Central / 10am Mountain / 9am Pacific and closes when capacity is reached; typically, this happens within 1 week. Registration will be processed on a first-come, first-served basis and registrants from CIRTL member institutions or alumni of CIRTL member institutions will receive priority. Once registration closes, all registrants will be notified of their enrollment status.
  
  Registration Link:
  https://uwmadison.zoom.us/meeting/register/tJYoc-CgqTsjE9OYd9jKTmHyNcNBzHsI9hcw#/registration&#160;
  
  
",September 24
Cypress Creek and Blanco River water quality training,Wimberley Community Center,"
  The Texas A&amp;M AgriLife Extension Service will hold a Texas Watershed Steward workshop on the Cypress Creek and Blanco River watersheds on Sept. 24 in Wimberley.
",September 24
ASCC Tutoring,"Evans 105: Whitley Suite, Evans Library",,September 24
Q&amp;A on the Anti-DEI Law and Grant Proposals,Rudder Tower,,September 24
Q&amp;A on the Anti-DEI Law and Grant Proposals,Rudder Tower,,September 24
Graduate Certificate in Forensic Health Care Information Session via ZOOM,ZOOM,"
  This prospective student information session (PSIS) is available to students who are interested in the Graduate Certificate in Forensic Health Care program offered at the Texas A&amp;M College of Nursing. The session will cover prerequisites, application instructions and processes, and general information about the program.
  
  This session will be hosted online via ZOOM. You can connect via smartphone, tablet, or computer.&#160;
",September 24
Mays Resume Review,Wehner Building,"
  In-Person Event
",September 24
Mays Resume Review,Wehner Building,"
  In-Person Event
",September 24
GSPDT - Encouraging Classroom Discussion in the Classroom,Zoom,"
  Facilitators: Graduate Teaching Consultants, Center for Teaching Excellence


  Description: Discussion is a primary instructional technique in diverse classroom types (e.g., lecture, recitation, and laboratory). Discussion supports students in thinking critically about content material. This workshop, open to graduate student and postdoctoral research associates, will explore both the art and science of facilitating effective discussions in the classroom. Participants will receive several handouts outlining how to implement various discussion strategies in the classroom.


  Learning Outcomes:


  Participants will be able to…


  1. Discuss the benefits of building in time for discussion during lecture.


  2. Describe the difference between debate, dialogue, and discussion.


  3. Explore varied instructional techniques supporting classroom discussion.


  4. Compose discussion guidelines for the classroom.
  
  Register Here:&#160;https://ers.tamu.edu/event/10636
  
  Attending this event and completing the reflection in Canvas is worth 1 PDU towards a G.R.A.D. Aggies Professional Development Certificate for graduate &amp; professional students. Be sure to follow the instructions of the facilitator to confirm your attendance. Students who are not on the attendance sheet or who do not attend the majority of the event will not receive G.R.A.D. Aggies credit. Visit grad-aggies.tamu.edu for more information.
",September 24
Math Learning Center Tutoring,"Evans 204E, Evans Library",,September 24
Lap Pool,,,September 24
PEP TALKS! School Vouchers: Why Now? Why Still?,Zoom,"Dr. Josh Cowen is a professor of education policy at Michigan State University and, for the 2024-25 academic year, Senior Fellow at the Education Law Center. He has been studying vouchers and
other school choice programs since 2005. He has also partnered with state agencies, legislatures and other organizations on evaluations of a variety of education policies related to student development and teacher retention. Over the last two years, Cowen has written, testified and spoken widely on the harmful effects of voucher programs. His work has appeared in outlets like the Brookings Institution Chalkboard, Time Magazine, the Hechinger Report, the Dallas Morning News, Houston Chronicle and the Philadelphia Inquirer.
Josh Cowen’s new book, The Privateers: How Billionaires Created a Culture War and Sold School Vouchers (Harvard Education Press: September 2024), is an inside look at voucher policymaking within the broader culture war battles.",September 24
ECE Energy &amp; Power Group Webinar: Demythifying Cybersecurity,Wisenbaker Engineering Building,"
  Dr. Thomas Kroeger
  Systems &amp; Security ResearchSandia National Laboratories
",September 24
ASCC 002,"Evans 204B , Evans Library",,September 24
AggiesCALL - Serving Junction 505,Wehner Building,"
  AggiesCALL brings together Aggie students to make phone calls on behalf of nonprofits. This service not only helps these organizations, but students also receive valuable professional communication training. Each 2-hour event includes phone training, an introduction to the nonprofit, and the time to make calls. Scripts are provided, and no prior experience is required.


  Register Now
",September 24
Microteaching Practice,Zoom,"
  Register Here: https://ers.tamu.edu/event/8325
  
  Facilitators: Michele Vick, Center for Teaching Excellence


  Description: This workshop helps participants enhance their teaching and public speaking skills through microteaching demonstrations delivered in a low-risk environment. Each participant delivers a 5-minute presentation, receiving constructive feedback from a consultant and an undergraduate student on pronunciation, presentation structure, visual aids, nonverbal communication and more. By presenting in front of a friendly audience, participants develop confidence, and by observing peers’ presentations, they gain additional insight into best practices for comprehensible and well-developed presentations.


  Learning Outcomes: Participants will be able to: 1. Construct and deliver short, well-structured and intelligible presentations 2. Create a visual aid to support key points 3. Identify areas for improvement in their own presentations and those of their peers
",September 24
Galaxies from Here to Eternity: Too Big Too Soon?,Mitchell Institute for Fundamental Physics &amp; Astronomy,"
  Speaker: Stacy McGaugh (Case Western Reserve University)
",September 24
Crafternoon Workshop: Texas Aggie Tote’em Bags,"Annex 405C , Annex 405D , Library Annex",,September 24
CoDHR Office Hours,"Liberal Arts and Arts &amp; Humanities Building,","
  CoDHR Office Hours are for Texas A&amp;M faculty, staff, and students who have questions about CoDHR’s resources and/or are in need of technical assistance on their digital projects.
",September 24
ICF Open,,,September 24
PHYS faculty meeting,,,September 24
AERO (APPELS) - Some Contributions to Computational Physics,Bright Building,"
  Dr. Brian Freno
  Principal Member, Technical StaffSandia National Laboratories
",September 24
Personal Brand Exploration and Impact,Virtual,"
  tx.ag/BrandSept24
  
  https://tamu.zoom.us/meeting/register/tJ0sd-yhrzkpHt3GpoLddLzZeBanbr8T8T9s
",September 24
Personal Brand Exploration and Impact,Virtual,"
  tx.ag/BrandSept24
  
  https://tamu.zoom.us/meeting/register/tJ0sd-yhrzkpHt3GpoLddLzZeBanbr8T8T9s
",September 24
Personal Brand Exploration and Impact,Virtual,"
  tx.ag/BrandSept24
  
  https://tamu.zoom.us/meeting/register/tJ0sd-yhrzkpHt3GpoLddLzZeBanbr8T8T9s
",September 24
Choosing a Major &amp; Career,Koldus Building,,September 24
Immigration 101,,Online Event: http://tx.ag/FragomenImmigrationWebinar,September 24
Immigration 101,,"
  Online Event: http://tx.ag/FragomenImmigrationWebinar
",September 24
Choosing a Major &amp; Career,Koldus Building,,September 24
Choosing a Major &amp; Career,Koldus Building,,September 24
Financial Education Series: Learning About Credit and Credit Scores,Zoom,"
  Do you need help saving money? Join our virtual Financial Education workshop in partnership with Wells Fargo to learn more about managing your finances.
",September 24
Financial Education Series: Learning About Credit and Credit Scores,Zoom,"
  Do you need help saving money? Join our virtual Financial Education workshop in partnership with Wells Fargo to learn more about managing your finances.
",September 24
POLS 206 &amp; 207 Tutoring (Haney),"108B, Galveston",,September 24
Financial Education Series: Learning About Credit and Credit Scores,Zoom,"
  Do you need help saving money? Join our virtual Financial Education workshop in partnership with Wells Fargo to learn more about managing your finances.
",September 24
Time Out Tuesdays,"121A, Galveston",,September 24
Celebrate the Freedom to Read Zine Making PopUp,"Evans Lobby, Evans Library",,September 24
"OCEN Tutoring (Departmental, multiple courses)","108B, Galveston",,September 24
Howdy Week - 42 Night,Acre Distilling,"
  Howdy Week - 42 Night
  Tuesday, September 24
  5:00 – 8:00 p.m.
  Acre Distilling | 1309 Calhoun St, Fort Worth, TX 76102
",September 24
Penberthy North Hours,,,September 24
Penberthy South Hours,,,September 24
PEAP Hours,,,September 24
50 Meter,,,September 24
EH-CSCE Grad Life Seminar,Peterson Building,,September 24
Alumni Mixer in Dallas,River Pig Saloon,"
  Alumni Mixer in Dallas
  Tuesday, September 24, 2024
  6:00 - 8:00 p.m., Remarks at 6:45 p.m.
  River Pig Saloon
  1720 Greenville Ave. | Dallas, TX 75206
",September 24
Retailing Industry Speed Networking and Reception Event,Texas A&amp;M Hotel &amp; Conference Center (Traditions Room),"
  Join us for an exciting evening of professional connections and networking at the Retailing Industry Speed Networking and Reception Event. This unique opportunity is designed for students and industry professionals to engage in a dynamic speed networking session followed by a relaxed social reception.
  


  


  Learn more about the Retailing Industry Speed Networking &amp; Reception event.
",September 24
Omar Smith Tennis Center Hours,,,September 24
Aggies All Booked,"Annex 405C , Library Annex",,September 24
Residential Housing Association General Assembly,Commons 109,,September 24
Tuesday Night Outside Cinema,"6200 Tres Lagos Blvd. McAllen, TX 78504","Join us on Tuesday, September 24, 2024, from 7:00 PM to 9:00 PM at the HECM Courtyard for an outdoor movie experience under the stars! Bring your blankets, snacks, and friends for a fun and cozy evening.",September 24
First-Gen and Posse Scholars Study Hall,Hullabaloo,,September 24
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,September 24
Ice Hockey - Practice,"Spirit Ice Arena, 400 Holleman Dr E, College Station, TX 77840, USA",,September 24
2024 Pesticide Applicator Training for Public Health: Rosenberg,"Rosenberg Civic Center, 3825 State Highway 36, Rosenberg, TX 77471","
  The Texas A&amp;M AgriLife Extension Service will be holding a pesticide applicator training for certification for pesticide applicators in local governments responsible for mosquito control on Sept. 24-26 in Rosenberg.
",September 25
Free Tutoring,College Hills Baptist Church 712 Churchill Street College Station Texas 77840,,September 25
Inaugural Engineering Art Competition,Zachry Engineering Education Complex,"
  Engineering Art Competition
  Theme: Aggie Engineering: Forging the Future!
  August 19, 2024 - October 4, 2024
  We are excited to host our inaugural art contest exclusively for engineering students! This is your chance to showcase your creativity alongside your technical skills.
",September 25
Open Enrollment – Advanced Upstream Processes: Design and Optimization,National Center for Therapeutics Manufacturing (NCTM),"
  Learning Objectives
  
  • Overview of Cell Culture Principles
  
  • Cell Banking
  
  • Passaging of Adherent and Suspension Cells
  
  • Calculations for Transfection and Infection of Cell Cultures
  
  • Principles of Scale Up
  
  • Feeding Strategies and Recipe Design
  
  • Overview of PID Control Loops
  
  • Cell Culture Issues and Troubleshooting strategies
  
  • Growth Monitoring and Offline Analysis
  
  • Single Use Bioreactor Set up and Inoculation
  
  • Maintenance of Bioanalytical Equipment
  
  • Overview of Clean In Place; 100 liter reusable bioreactor operation; mammalian cell culture clarification by depth filtration; Continuous flow disc stack centrifuge operation.
",September 25
Pattern Recognition,Forsyth Galleries,"
  Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.
",September 25
Pattern Recognition,Forsyth Galleries,Exploring how patterns can be used to make or decorate art and objects from the University Art Galleries collections.,September 25
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 25
Poetry in Motion,J. Wayne Stark Galleries,"
  This exhibition pairs two forms of expressive activity: art and short poetry. With poems by writers from Shakespeare to Langston Hughes, visitors are encouraged to look at the art with new eyes.
",September 25
RC Closed,,,September 25
"Shawn Smith, “Dissonant Data”",Langford Architecture Center Building A,,September 25
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 25
Shutter and Sound: The Jazz Photography of Bob Willoughby,J. Wayne Stark Galleries,"
  Bob Willoughby’s images are jazz improvisation made manifest: they give the viewer a sense of vibrant intimacy as he captured wistful singers, jamming musicians, and enthusiastic audiences.
",September 25
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 25
Texas A&amp;M University Men’s Tennis at ITA All-American Championship,"Tulsa, Okla., Michael D. Case Tennis Center",,September 25
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 25
Texas A&amp;M University Women’s Tennis at ITA All-American Championship,"Cary, N.C., Cary Tennis Park",,September 25
Texas Family Support Group,Online Virtual Meeting for all of Texas,,September 25
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 25
Thrifted Religion,"J. Wayne Stark Galleries, Education Gallery","
  “Thrifted Religion” invites viewers to explore the breadth of spiritual traditions found in Aggieland and East Texas through the common and unique religious objects found at local secondhand shops.
",September 25
Transit Fall Service,Memorial Student Center,"
  Weekday Service Hours &#160;7:00 AM - Midnight
  Weekend Service Hours &#160;9:00 AM - 6:00 PM
",September 25
Virtual Walk Challenge,,"
  Walk Through Texas History during our 4-week virtual walk challenge.
",September 25
State Employee Charitable Campaign,Across campus,"The State Employee Charitable Campaign (SECC) is an opportunity for state employees to donate to charities through payroll deductions.&#160; Between Sept. 1 and Oct 31, employees can designate dollars as a one-time gift or monthly to 24 local charities and more than 1,000 nationally.&#160;&#160;",September 25
Southside Rec Center Hours,,,September 25
Student Rec Center Hours,,,September 25
Lap Pool,,,September 25
Polo Road Hours,,,September 25
Operating Hours,,,September 25
Structural Pest Control Technician Training,Hornsby Bend Wastewater Treatment Facility,,September 25
University Writing Center Staff Meeting &amp; CRLA Class,"Evans 204E, Evans Library",,September 25
ASCC 004,"Evans 105: Whitley Suite, Evans Library",,September 25
ASCC 001,"Evans 202A, Evans Library",,September 25
Structural Pest Control Technician Training: Austin,"Hornsby Bend Wastewater Treatment Facility, 2210 S. FM 973, Austin","
  The Texas A&amp;M AgriLife Extension Service will be hosting a Structural Pest Control Technician training course on Sept. 25 in Austin.
",September 25
Weekly BCDC Team Meeting,"RIC, 112/113",,September 25
CSO Conversations &amp; Coffee: White &amp; Case,Appellate Courtroom,"
  CSO Conversations &amp; Coffee
  Every Wednesday
  8:30 - 10:30 am
  Appellate Courtroom
  Featuring White &amp; Case on Sept 25
",September 25
University Writing Center CRLA Class - Level I,"Annex 405C , Library Annex",,September 25
CRLA Level III Class,Evans Library,,September 25
Color Lounge,Evans Library,"
  Manage stress in an ambient environment!
",September 25
"OCEN Tutoring (Departmental, multiple courses)","115, Galveston",,September 25
50 Meter,,,September 25
EDCI 365 Library Visit (Hawk),"Annex 652, Library Annex",,September 25
ASCC 002,"Evans 204B , Evans Library",,September 25
Business Career Fair Hosted by Business Student Council,Kyle Field - Hall of Champions,,September 25
Business Career Fair - Day 1 (in-person),Kyle Field - Hall of Champions,"
  https://www.mayscareerfair.com/
",September 25
Business Career Fair - Day 1 (in-person),Kyle Field - Hall of Champions,"
  https://www.mayscareerfair.com/
",September 25
Business Student Council Career Fair,"161 Wellborn Rd, College Station, TX 77840",,September 25
The 12th Can Pantry Opening,"330 Agronomy Rd, College Station, TX 77843",,September 25
EDCI 365 Library Visit (Hawk),"Annex 652, Library Annex",,September 25
American English Consonants (Part 1),Blocker Building,"
  Register Here: https://ers.tamu.edu/event/10677
  
  Facilitators: Ginessa Payne, Center for Teaching Excellence


  Description: This four-session pronunciation workshop systematically explores the vocal tract and segments of speech that make meaningful differences in North American English. Through a variety of activities and handouts, attendees will become familiar with each consonant sound and with resources to practice listening discrimination and accurate pronunciation on their own. They each have the opportunity to get personalized feedback on their own pronunciation.&#160;Those who attend Part 1 will automatically be registered for Parts 2-4, which occur at the same time and place the following weeks.


  Learning Outcomes: Participants will be able to:


  1. Distinguish consonant sounds from consonant letters


  2. When listening, discern voiced consonants from voiceless consonants, and discern the different manners of articulation (stop, fricative, affricate, approximant, and nasal)


  3. When speaking, shift between voiced and voiceless at will; produce consonants with different manners of articulation and different places of articulation


  4. Identify one digital resource to use for ongoing pronunciation development
",September 25
2024 CAFRT Orientation (Option #1),Rudder Tower,,September 25
Finding America’s Missing,Melbern G. Glasscock Building,"
  A workshop for Graduate &amp; undergraduate students.
",September 25
APhA Reproductive Health Committee Meeting,REYN 160; PHARM 115,,September 25
Graduate Consulting Career Series 3: Fit and Personal Experience Interviews,,"
  Online event: &#160;tx.ag/Con3
",September 25
Graduate Consulting Career Series 3: Fit and Personal Experience Interviews,,"
  Hybrid event: Both in-person (Nagle Hall) and online at tx.ag/Con3
",September 25
Lunch &amp; Learn: Research Integrity,,"
  Lunch &amp; Learn with Gerianne Alexander to discuss research integrity and things to think about when applying for grants and working on projects.
",September 25
Speaker’s Bureau Weekly Meeting,Rm 107,"
  Speaker’s Bureau Weekly Meeting
  Every Wednesday from August 28 - November 11
  12-1pm
  Room 107
",September 25
FedSoc: Speak Up or be Silenced: Attacks on the 1A,Rm 201,"FedSoc: Speak Up or be Silenced: Attacks on the 1A
September 25, 2024
12-1pm
Room 201",September 25
Howdy Week - Yell Practice 101,Lecture Hall,"
  Howdy Week - Yell Practice 101
  Wednesday, September 25
  12:00 p.m. – 1:00 p.m.
  Lecture Hall
",September 25
Semester Kick-Off!,EnMed Lawn,"
  Kick off the semester with ice cream, tacos, and games on the new green lawn at EnMed!
",September 25
Outdoor Pool,,,September 25
EHRD 490 Library Visit (Yi),"Annex 405 , Library Annex",,September 25
Ph.D. Dissertation Defense: Thi Thu Huyen Nguyen,Harrington Education Center Office Tower,“Work-life Balance of Vietnamese Female Faculty in Higher Education Institutions: A Phenomenological Study”,September 25
ASCC Tutoring,"Evans 105: Whitley Suite, Evans Library",,September 25
"HEGP Pop-In, Pop-Out: Scholarships",Zachry Engineering Education Complex,"
  Stop by and learn about Halliburton Engineering Global Programs
",September 25
EDCI 365 Library Visit (Nudze),"Annex 652, Library Annex",,September 25
